 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,94.470,1.532,0,255,11.203,10.737,159.916,0.924,11.820,674,289,157.521,10.919,1.043,0.958,0.958
2,120.429,0.000,0,0,12.617,12.153,139.207,0.878,13.246,1113,87,165.174,12.416,1.038,0.963,0.951
3,106.811,0.000,0,0,11.926,11.403,111.030,0.885,12.423,1158,48,104.036,11.553,1.046,0.956,0.953
4,89.222,0.000,0,0,11.218,10.126,15.825,0.920,11.633,1158,112,29.055,10.137,1.108,0.903,0.954
5,78.867,0.000,0,0,10.706,9.380,147.271,0.644,12.169,1093,42,158.199,9.587,1.141,0.876,0.879
6,64.115,0.000,0,0,9.691,8.424,173.148,0.838,10.050,1057,43,167.005,8.662,1.150,0.869,0.926
7,86.669,0.000,0,0,10.920,10.105,4.201,0.848,11.730,1049,85,174.472,10.169,1.081,0.925,0.931
8,199.721,109.208,0,255,16.145,15.750,80.012,0.902,17.098,1063,110,97.595,15.818,1.025,0.976,0.963
9,131.067,0.000,0,0,14.220,11.735,69.794,0.789,14.650,1146,252,72.031,12.193,1.212,0.825,0.924
10,21.703,0.000,0,0,6.535,4.228,117.540,0.690,7.106,1296,158,122.005,4.744,1.546,0.647,0.803
11,44.824,0.000,0,0,7.906,7.218,26.263,0.775,8.362,1311,127,7.765,7.909,1.095,0.913,0.879
12,21.135,0.000,0,0,5.363,5.018,59.514,0.865,5.895,1289,145,26.565,5.193,1.069,0.936,0.892
13,23.547,0.000,0,0,5.588,5.366,69.119,0.940,5.955,1346,110,108.435,5.558,1.041,0.960,0.927
14,87.804,1.236,0,255,10.698,10.450,9.348,0.769,12.017,1365,80,122.196,10.546,1.024,0.977,0.900
15,90.073,0.000,0,0,11.310,10.140,158.921,0.871,12.169,1317,81,158.199,10.546,1.115,0.896,0.937
16,22.412,0.000,0,0,7.042,4.052,126.002,0.753,7.235,1363,143,128.660,4.628,1.738,0.575,0.873
17,41.703,0.000,0,0,7.665,6.928,77.548,0.773,9.233,1344,174,78.232,7.100,1.106,0.904,0.872
18,70.498,0.000,0,0,11.047,8.125,126.022,0.771,11.523,1322,174,101.310,8.954,1.360,0.735,0.874
19,31.632,0.000,0,0,6.761,5.957,127.169,0.923,7.245,1343,208,152.103,6.136,1.135,0.881,0.941
